Customer,Address,Depot_Assignment,Latitude,Longitude
ST191,2413 Church St  Converse  LA 70797,Leesville,31.7893,-93.6401
ST192,1052 White Ave  Rosepine  LA 79098,Leesville,30.9171,-93.2825
ST193,2599 Simmons St  Fisher  LA 71409,Leesville,31.7083,-93.1916
ST194,6682 Jenkins Dr  Converse  LA 71667,Leesville,31.7674,-93.6549
ST195,6482 Watson St  Zwolle  LA 73365,Leesville,31.628,-93.6404
ST196,6698 Anderson Ave  Pleasant Hill  LA 73773,Leesville,31.7876,-93.5457
ST197,9371 Hall Ave  Pleasant Hill  LA 73002,Leesville,31.8096,-93.5287
ST198,3739 Perez Rd  Rosepine  LA 73696,Leesville,30.9418,-93.2731
ST199,8708 Cox St  Many  LA 78327,Leesville,31.5524,-93.4962
ST200,2370 Maple Ave  DeRidder  LA 72117,Leesville,30.8522,-93.3149
ST201,1597 Brooks Ave  Fisher  LA 78984,Leesville,31.7431,-93.1897
ST202,4927 Ross St  Zwolle  LA 79711,Leesville,31.6384,-93.6612
ST203,7880 Bell Rd  Converse  LA 79360,Leesville,31.8005,-93.6675
ST204,4699 James Dr  Converse  LA 78281,Leesville,31.7723,-93.6858
ST205,5731 Lincoln Ave  DeRidder  LA 77219,Leesville,30.8181,-93.2651
ST206,8891 Ward Rd  Pineville  LA 79602,Leesville,31.3158,-92.4068
ST207,2218 Green Ave  Merryville  LA 77474,Leesville,30.7473,-93.5555
ST208,6895 Anderson Ave  Zwolle  LA 74025,Leesville,31.6284,-93.6316
ST209,5908 Henderson Ave  Many  LA 73830,Leesville,31.5505,-93.4856
ST210,1086 Hernandez Ave  Mansfield  LA 71432,Leesville,32.055,-93.7075
ST211,8081 Adams Rd  Leesville  LA 70491,Leesville,31.1694,-93.2318
ST212,1414 Wood Rd  DeRidder  LA 78530,Leesville,30.8493,-93.3138
ST213,323 Martinez St  Leesville  LA 75652,Leesville,31.1601,-93.2293
ST214,2176 Roosevelt Ave  Zwolle  LA 75069,Leesville,31.6074,-93.6236
ST215,3864 Miller St  Rosepine  LA 78748,Leesville,30.9476,-93.2888
ST216,2234 Gonzalez Ave  DeRidder  LA 71574,Leesville,30.8418,-93.2636
ST217,3525 Anderson Ave  Hornbeck  LA 79311,Leesville,31.2952,-93.4003
ST218,7665 Stewart Ave  Florien  LA 75364,Leesville,31.6389,-93.2998
ST219,1199 Torres Dr  Merryville  LA 79927,Leesville,30.7728,-93.532
ST220,4755 Morris St  Merryville  LA 71844,Leesville,30.7266,-93.5609
ST221,1569 Perez Rd  Jonesboro  LA 78697,Leesville,32.2676,-92.711
ST222,2195 Moore Dr  Zwolle  LA 76163,Leesville,31.6165,-93.6497
ST223,5677 Peterson St  Many  LA 72192,Leesville,31.5455,-93.4926
